N,la direction,Die Richtung,,,,2022
N,autodafé,Die Bücherverbrennung,,,,2022
N,l'ambiance,Die Stimmung,,,,2022
N,liberté d'expression,Die Meinungsfreiheit,,,,2022
N,écrivain,Der Schriftsteller,,,,2022
VFC,interdire,verbietet,verbot,hat verboten,verbieten,2022
V,haïr,hassen,,,,2022
V,mettre en scène,inszenieren,,,,2022
V,éliminer,beseitige,,,,2022
A,vide,leer,,,,2022
N,la mort,Der Tod,,,,2022
N,le livre,das Buch,,,,2022
N,la Terre,Die Erde,,,,2022
V,atteindre,erreichen,,,,2022
V,relier,verbinden,,,,2022
A,lentement,langsam,,,,2022
N,l'évènement,Der Ereignis,,,,2022
A,ensemble,gemeinsam,,,,2022
N,la signification,Die Bedeutung,,,,2022
N,l'attentat,Der Anschlag,,,,2022
A,perpétrer un attentat,ein Anschlag verüben,,,,2022
A,fragile,zerbrechlich,,,,2022
V,se souvenir,erinnern,,,,2022
VFC,gérer,geht um,ging um,ist umgegangen,um gehen,2022
V,marquer qqc,prägen,,,,2022
V,échouer,scheitern,,,,2022
N,le souci,Die Sorge,,,,2022
N,modèle,Das Vorbild,,,,2022
N,nostalgie,Die Sehnsucht,,,,2022
V,originaire de,stammen,,,,2022
V,faire / rechercher,forschen,,,,2022
VFC,quitter,verlässt,verließ,hat verlassen,verlassen,2022
N,le discours,Die Rede,,,,2022
VFC,tenir un discours,hält,hielt,hat gehalten,eine Rede halten,2022
N,le territoire,Das Gebiet,,,,2022
V,défendre,versteidigen,,,,2022
A,clair,hell,,,,2022
A,sombre,dunkel,,,,2022
A,autrefois,damals,,,,2022
N,réforme monaitaire,Die Währungsreform,,,,2022
N,le pont,Die Brücke,,,,2022
N,air,Die Luft,,,,2022
N,l'avion,Das Flugzeug,,,,2022
N,le train,Die Bahn,,,,2022
N,le chemin,Der Weg,,,,2022
A,approvisionner,versorgen,,,,2022
V,bloquer,sperren,,,,2022
N,l'Homme,Der Mensch,,,,2022
N,l'humanité,Die Menschheit,,,,2022
N,le peuple,Das Volk,,,,2022
